smile,Polarizability,split
COCCNC(=O)C1CCN(c2nnc(CC(C)(C)C)n2C[C@H](C)N2CCc3ccccc32)CC1,333.79,train
COc1ccc(CN2C[C@@H](OC)C[C@]2(C)CO)nn1,173.16,train
O=C(CSc1nnc(COc2ccccc2Cl)n1C1CC1)N1CCC[C@@H]2CCCC[C@@H]21,297.99,train
CSCCCOC(=O)[C@@H]1CC=CCC1,140.49,train
CCCC(CCC)C(=O)Nc1ccnc(COC)n1,182.99,train
CO[C@@H](C)CN(C)C(=O)c1nccs1,136.59,train
CCn1ccc(C(=O)NC[C@@H]2CCC3(CN(C[C@@H](C)OC)C3)O2)n1,223.25,train
COc1cccc(CN2CC[C@H](NC(=O)Cc3cnc(C)o3)[C@H]2C)c1,229.07,train
CSC[C@](C)(O)CNC(=O)C1(C)CCCC1,162.05,train
CCCCCCn1c2ccccc2nc1NCCO,189.33,train
CS[C@H](C)CCOC(=O)/C=C\C1CC1,151.12,train
CS(=O)(=O)CCC(=O)NCC1CCS(=O)(=O)CC1,159.57,train
COCCn1c([C@@H](C)NS(C)(=O)=O)nnc1N1CCN(c2ccc(C(N)=O)cc2)CC1,296.5,train
CCCSCC(=O)NC1(COC)CC1,142.27,train
O=C(Nc1ccc(Cl)cc1)c1nnc([C@H]2CCCN2C(=O)Nc2ccccc2C(F)(F)F)s1,314.37,train
O=C(c1ccon1)N1CCc2[nH]nnc2C1,125.92,train
CC[C@@H](C[C@@H](C)O)NS(=O)(=O)NC,117.58,train
CN(C(=O)[C@@H]1CCSC1)c1nccs1,146.18,train
O=C(NC[C@@H](O)c1c(F)cccc1F)Nc1cc(C(F)(F)F)ccn1,194.96,train
CCOc1ccc(C)cc1[C@H](C)CC,145.22,train
CCCCCS(=O)(=O)N1CC2(CC2)C1,137.64,train
CC(C)(C)S(=O)(=O)CC=C(Cl)Cl,127.93,train
Cc1ccoc1C(=O)NC[C@]12CCC[C@H]1CN(C(=O)CCOC(C)C)C2,240.56,train
O=C(Cc1ccc(F)cc1)Nc1cccc(NC(=O)NCc2ccncc2)c1,263.67,train
CSCC[C@H](C)N(C)C(=O)c1cccc2nsnc21,197.69,train
CC[C@@H](C)C[C@@H]1NC(=O)N(Cc2nc(C)cs2)C1=O,176.82,train
Cc1cc(C(=O)NCCc2nc(C)no2)oc1C,161.24,train
CCOC(=O)c1cn2cc(Nc3ccc(S(C)(=O)=O)cc3)ccc2n1,265.98,train
C[C@@H]1CN(C(=O)c2ccc[n+]([O-])c2)CC2(CCC2)O1,172.61,train
CCCC(=O)N[C@@H]1CCSC(C)(C)C1,146.29,train
CC/C=C/NC(=S)NCCC[S@@](C)=O,166.33,train
CSc1ccc(C(=O)NCc2cc(COC(C)(C)C)on2)cc1[N+](=O)[O-],252.51,train
Cc1ncc(C(=O)NCC(C)(C)F)c(C(C)C)n1,167.06,train
Cc1nsc(N2CCC[C@@](C)(O)C2)n1,137.56,train
CCC[C@H](Cn1c(-c2cnccn2)nnc1N1CCC2(C1)CCCCC2)OC,271.03,train
CC(C)NC(=O)c1nnc(N(C)[C@@H](C)c2ccco2)n1Cc1cccc(NC(=O)[C@H]2CCCO2)c1,327.05,train
CCc1cccc(CC)c1NC(=O)N[C@H]1CC[C@H]1C,189.56,train
Cc1cncc(CN2CC[C@@H](NC(=O)[C@H]3CN(C)C[C@@H](C)O3)C2)c1,227.07,train
[O-]c1cccc(Cl)c1C[NH+]1CCC(CF)CC1,164.03,train
COCC[C@@](C)(O)Cn1c(-c2cccc3cccnc32)nnc1N1CC[C@@H](NC(=O)OC(C)(C)C)C1,342.01,train
CCC(=O)N1CCN(C(=O)c2[nH]ccc2C)[C@@H]2CS(=O)(=O)C[C@@H]21,205.52,train
Cc1nc(CN2CCN(C)C3(CCN(c4nc5ccccc5nc4N4CCCC4)CC3)C2=O)cs1,366.32,train
O=C1[C@H]2C[C@@H](O)CN2C(=O)N1C1CCCCCC1,152.82,train
O=C(Nc1c(-c2cccnc2)nc2ccccn21)[C@@H]1CC(=O)Nc2cc(F)ccc21,278.32,train
O=C(NC1CN(CCOc2cccc(F)c2)C1)[C@@H]1CCC(=O)NC1,212.06,train
CCOC(=O)[C@](C)(CNC(=O)N[C@@H]1CCC[C@@H](F)C1)c1ccccc1,226.1,train
CCC[C@@H](CC)NS(=O)(=O)N1CCCC[C@H]1C,165.41,train
CCC1(C(=O)NC[C@H]2C[C@@H](NC(=O)c3ccccn3)C2)CCCCC1,236.49,train
CC(F)(F)C(=O)NCCn1cnnn1,94.85,train
CC(=O)O[C@@H](C)C(=O)Nc1ccsc1,129.23,train
COCCNC(=O)C1CCN(c2nnc([C@H]3CCOC3)n2Cc2ccc(C(F)(F)F)cc2C)CC1,299.47,train
Cc1csc(=O)n1C[C@H]1CC[C@@H](C)O1,132.17,train
COC(=O)c1c(OC)ccc(S(=O)(=O)NCC(=O)N2CCOCC2)c1OC,238.06,train
O=[S@](Cc1ccc(CO)cc1)[C@@H]1CCOC1,160.15,train
COC[C@H]1CN(c2nnc(-c3ccc(OCCC(C)C)cc3)n2CC2(O)CCOCC2)C[C@H](C)O1,334.02,train
CC[C@H](C(=O)[O-])N(C(=O)NCc1ccccc1C[N@H+]1CCCC[C@@H]1C)C1CC1,259.58,train
CCCCC(=O)OCCC1OCCO1,121.65,train
O=C(NCC[C@@H]1COc2ccccc2O1)Nc1ccc2nc(-c3ccccn3)oc2c1,318.34,train
CCc1nnc(CN2CC(NC(=O)c3cnn4ccccc34)C2)o1,219.39,train
CCN1C(=O)/C(=C\c2ccc(-c3cc([N+](=O)[O-])ccc3OC)o2)S/C1=N/c1ccc(F)cc1,403.55,train
CN(C(=O)Cc1cncnc1)c1ccccc1,156.88,train
CC[S@](C)(=O)=NC(=O)CSC(F)(F)F,119.76,train
Cc1nscc1C(=O)NC1CN(C(=O)[C@@H](C)Cc2cnc[nH]2)C1,216.13,train
CCOCc1nc(C)cc(N[C@@H](C)CC)n1,160.16,train
COC[C@H](C)OC(=O)N1CC(C)(C)C1,126.96,train
COCCO[C@H](C)c1nnc(N2CCN(c3ccc(C(C)=O)cc3F)CC2)n1C[C@@H]1CC=CCO1,330.87,train
Cc1ccccc1OCCCNc1cc(Cn2ncc3ccccc3c2=O)nc(C)n1,298.77,train
Cc1nnc([C@H](C)NC(=O)CCCC(F)(F)F)[nH]1,139.49,train
C[C@@H]1CN(C(=O)CCF)C[C@@H](CO)O1,114.9,train
CCCSCc1nc(C2(N)CC2)no1,137.15,train
COc1cc(CN(C)c2nnc(C(=O)Nc3ccccn3)n2C[C@H]2OCCC2(C)C)cc(OC)c1,348.96,train
Cc1ccc(C)c(C(=O)Nc2ccc(Cl)cc2O)c1,198.3,train
O=C(NC[C@@H]1CCSC1)N1CC=CC1,136.94,train
Cc1nc(S(=O)(=O)N2CCC(C(=O)N[C@H]3c4ccccc4CN(C)C3=O)CC2)cn1C,285.41,train
CCC[C@@H](C)NC(=O)O[C@H](C)COC,129.74,train
CC(CO)(CO)NC(=O)CCCc1ccc(Cl)cc1,181.17,train
O=C(Nc1nccs1)[C@H]1CCCOC1,131.1,train
CC1(C(=O)N2CC[C@H](N3CCN([C@@H]4CCNC4=O)CC3)C2)CCC1,220.56,train
COC(=O)[C@H]1C[C@@H]1C(=O)N[C@@H]1[C@H]2CN(c3nc(C)ncc3C)C[C@H]21,220.31,train
Cc1cc2nc(C)c(CCC(=O)NCC#Cc3cccc(C(F)(F)F)c3)c(C)n2n1,286.48,train
C[C@@H](c1ccccc1)[C@H](NC(=O)Cn1ccc(=O)c2ccccc21)C(N)=O,246.85,train
C[C@H]1[C@H](NS(=O)(=O)CCS(=O)(=O)N(C)C)CCN1Cc1ccccc1,234.24,train
CCCCC(=O)N(C)[C@@H](C)C(C)(C)O,135.29,train
CC1=C(C)C[C@H](C(=O)N[C@H](C)C2CN(C(=O)c3ncccn3)C2)CC1,227.11,train
C[C@H](NC(=O)[C@H]1C[C@H]1F)C(=O)Cc1ccccc1,158.95,train
Oc1ccc(F)c(CN2CCCO[C@@H](CF)C2)c1F,151.93,train
COCCOCC(=O)N1CCS(=O)(=O)C[C@H]1C1CC1,165.51,train
COC1(CNC(=O)NC[C@@H]2CCCO2)CCCC1,160.79,train
C[C@@H]1CCC[C@@H](NS(=O)(=O)Cc2ccon2)CC1,163.69,train
Cc1nc(Cc2nc(-c3cnccn3)no2)c(C)s1,180.0,train
C=CNc1cc(OC(F)(F)F)ccn1,114.27,train
CCCC(=O)N1CC[C@H](NC(=O)c2csc3cncn32)[C@@H](O)C1,215.26,train
CNc1ccc(C(=O)NCCc2ccc(OC(C)C)cc2)cc1[N+](=O)[O-],263.19,train
CCOc1ccc([C@@H](NC(=O)C(=O)Nc2cccc(OC)c2)c2ccccc2)cc1,297.02,train
CSCCC[N@@H+]1CCC[C@H]1C(=O)[O-],126.18,train
Cc1cccc(N2C[C@H](C(=O)O[C@H](C)C(=O)N(C)c3ccccc3)CC2=O)c1C,268.8,train
COc1cc(C(=O)NC2CC(N(C)C(=O)c3nc[nH]n3)C2)ccn1,213.28,train
O=C(Nc1nc(C2CC2)c[nH]1)[C@@H]1CC12CCOCC2,176.22,train
Cc1oc(C(C)C)cc1C(=O)NC[C@@H]1[C@H]2CN(C(=O)[C@@H]3C[C@H]3C)C[C@H]21,237.46,train
CN(C[C@H](O)CN(C)c1cncc(Cl)n1)C(=O)c1cocn1,195.69,train
Cc1noc(C)c1CC(=O)N(C)C1CC(NC(=O)[C@@H]2CCOC2)C1,212.74,train
CCC[C@H](C)S(=O)(=O)N[C@H]1C[C@](C)(OC)C1(C)C,174.41,train
CN(CCCNC(=O)C1CCC1)c1nnc(C(C)(C)C)n1Cc1cccc(NC(=O)[C@H]2CCCO2)c1,341.68,train
COc1ccc(S(=O)(=O)NCc2ccc(Cl)cc2Cl)cc1NC(=O)c1ccccc1C,316.97,train
COCCCCn1c(C(=O)Nc2ccc(C)c(C)c2)nnc1N1CCN([C@@H](C)c2nc(C)no2)CC1,352.43,train
CCNC(=S)N[C@H](C)Cc1ccco1,140.98,train
CC(C)CCC(=O)NCCOCCF,125.85,train
OC[C@@H]1CC(F)(F)CN1Cc1nc2c(s1)CCCC2,170.67,train
CCc1cc(N(C)C[C@@H](O)CN(C)C(=O)CSC)nc(C)n1,221.21,train
COCCCOc1ccc(CNCc2ccnn2C2CCCC2)cc1,245.07,train
Cc1cc(C)cc(OCc2nnc(N3CCCN(CC(=O)N4CCCC4)CC3)n2CCOC(C)C)c1,343.92,train
CSCCCNC(=O)NCC[C@@H]1CCO[C@H](C)C1,181.36,train
C[C@@H]1CN(c2nnc([C@H]3CCCOC3)n2Cc2ncccc2N(C)C)C[C@@H]1NC(=O)OC(C)(C)C,324.26,train
CNC(=O)c1ccc(NS(=O)(=O)c2ccc3oc(=O)ccc3c2)cc1,235.41,train
Cc1cc(C)n(-c2ccc(CNc3cc(N4CCOCC4)ncn3)cn2)n1,274.01,train
C[C@@H](c1ccccc1)N(C)C(=O)CN(C)c1nnc([C@H]2CCCCO2)n1CCC(=O)NC(C)(C)C,332.81,train
CCC[C@@H](O)CCNC(=O)[C@@]1(C)CCC(=O)NC1,163.88,train
COCCN(Cc1ccco1)c1nnc(-c2cnn(C)c2)n1Cc1ccc(NC(=O)N(C)C)cc1,330.59,train
CC(C)=CCO[C@H](C)c1cccs1,140.4,train
CC[C@]1(C)CN(c2nncs2)CCO1,134.63,train
CCO[C@H](C)C(=O)O[C@@H](C)C(=O)CC,121.56,train
CC(C)CN1CC2(C1)C[C@@H](NC(=O)c1cccn3nnnc13)CO2,218.0,train
COCC(C)(C)COC(=O)/C=C/c1ccc(C)nc1,198.95,train
O=C(CCc1ccc(S(=O)(=O)N2CCCCC2)cc1)Nc1cccc2cnccc21,289.69,train
C=C(C)Nc1cccc(C(C)C)c1,145.51,train
CC(C)CN1CCN(c2nnc(C(=O)N3CCCC3)n2C[C@H](c2cccnc2)C(C)C)[C@H](C)C1=O,328.82,train
CCCC(=O)NC1CCN(C(=O)c2cnn(C(C)(C)C)c2-c2ccccc2)CC1,282.77,train
CC[C@](C)(CNC(=O)[C@@H]1C[C@@H]1F)OC,122.72,train
Cc1ccnc(-c2ccc(NC(=O)N[C@@H](C(C)C)[C@H](O)C(F)(F)F)cc2)n1,255.19,train
CC(C)C(=O)N1CCO[C@H](CCF)C1,121.11,train
CCCc1[nH]ccc1C(=O)NCC1CCN(Cc2ncc(C)o2)CC1,237.56,train
C[C@H](CC1CC1)NC(=O)c1ccnn1CC(F)F,151.41,train
CO[C@H](C)Cn1c(-c2ccc[nH]2)nnc1N1C[C@@H]2CCCCCC[C@H]21,241.14,train
Cc1cccc(OCc2nnc(N3CC[C@H](N(C)C(=O)OC(C)(C)C)C3)n2Cc2cnn(C)c2)c1,321.72,train
CC[C@H](CNC(=O)N1C[C@H](C)[C@@](C)(CO)C1)Oc1ccccc1C(F)(F)F,231.55,train
Cc1ccc(C)c(-c2cc(C(=O)N3CCN(c4ccc(F)cc4)CC3)c3cccc(C)c3n2)c1,354.29,train
Cc1nnnn1-c1ccc(C(=O)N(C)Cc2cccc(C)n2)c(F)c1,227.1,train
Cc1oc2[nH]c(=O)n(-c3ccccc3)c(=O)c2c1C(=O)Nc1ccsn1,240.96,train
C=C/C=C/CC(=O)Nc1cnn(CCOC)c1,169.71,train
O=C(Cc1cncnc1)N[C@@H]1COC2(CN(Cc3ccon3)C2)C1,205.34,train
COC(=O)[C@H](C)CC(=O)N[C@H]1CCC[C@@H](C)C1,155.81,train
C=CCONC(=O)N(C)Cc1ccccc1OC,165.73,train
Cc1conc1CN[C@H](C)C[C@H](C)NC(=O)C1(c2ccccn2)CC1,230.39,train
COc1c[nH]c(C(=O)N2C[C@H]3[C@@H](C2)[C@@H]3NC(=O)[C@@H](C)C2CC2)cc1=O,227.14,train
CC[C@H](C)[C@@H](C)C(=O)N[C@H]1C[C@H](S(C)(=O)=O)C1,162.53,train
CCOCCn1c(-c2cccc(S(=O)(=O)N(C)C)c2)nnc1N1CC[C@@H](C(N)=O)C1,285.73,train
FC(F)(F)c1cccc(CO/N=C/c2ccc(-c3cc(C(F)(F)F)cc(C(F)(F)F)c3)o2)c1,270.22,train
CC(=O)NC[C@@H]1CN(c2nnc([C@@H](C)Oc3cccc(C)c3C)n2CC2(O)CCCCCC2)CCO1,336.6,train
O=C(Nc1ccccc1C(=O)N1CCC(Oc2ccc([N+](=O)[O-])cc2)CC1)C1CC1,289.47,train
Nn1c(SCc2ncc(C3CC3)o2)nnc1-c1cc(-c2ccc(Cl)cc2)[nH]n1,281.83,train
N#Cc1c2c(sc1NC(=O)CSc1nc(-c3ccccc3)c(-c3ccccc3)o1)CCCC2,353.04,train
COC(=O)c1cc(S(=O)(=O)NCCCC[C@H](NC(=O)CNC(C)=O)C(=O)OC)ccc1O,279.01,train
CC(C)O[C@@]1(c2nnc(N3CCC[C@@H](CC(N)=O)C3)n2Cc2c(F)cc(F)c(F)c2F)CCOC1,284.97,train
CCn1c([C@H]2CCS(=O)(=O)C2)nnc1N1Cc2cc(F)c(F)cc2C1,220.13,train
COC(=O)NCC(=O)OCC[C@@H](C)O,113.03,train
CCOC(=O)Cn1cnc(NC(=O)N2CCC[C@@H](NC(=O)N(C)C)C2)n1,227.54,train
Cc1nn(C)c2cc(NC(=O)C3CCN(c4ccc5cccc(O)c5n4)CC3)ccc12,324.32,train
CCOCc1ccccc1CNC(=O)NC[C@]1(Cc2ccc(F)cc2)CCC[C@H]1O,279.23,train
C[C@H](N[C@H](Cn1ccccc1=O)c1ccccc1)C(=O)NC12CC3CC(CC(C3)C1)C2,293.07,train
CC(C)C(=O)Nc1nc(CC(=O)[C@@H](C#N)c2ncc(C(C)(C)C)s2)cs1,259.73,train
CCNC(=O)CC[S@](=O)C/C=C/Cl,138.34,train
CCS(=O)(=O)CC(=O)N[C@H](C)C1CN(CCF)C1,160.48,train
O=C(N[C@H]1CCSC1)[C@@H]1CNCCO1,132.84,train
CCC(CC)NC(=O)c1nnc(N(C)C[C@H]2CCN(C(C)=O)C2)n1Cc1ccc2ncccc2c1,344.46,train
CC(C)CO[C@H]1CCN(C(=O)NCC[C@@H](c2ccccc2)C(F)(F)F)C1,218.94,train
Cc1nsc(NCCOC(C)C)n1,130.51,train
C[C@H](CC(C)(C)O)OC(=O)[C@H]1CCO[C@H](C)C1,152.12,train
CCCOc1cccc(F)c1CCC,134.16,train
COc1cc(CN2CC(=O)N([C@H]3c4cccc(F)c4CC[C@@H]3C)C2=O)cc(OC)c1,268.79,train
CCN1CC[C@@H](N2CC[C@@H](NC(=O)Cc3cncc(C)c3)C2)C1=O,223.7,train
CC(=O)NC[C@H]1CCCN(c2nnc([C@@H](C)Oc3ccccc3F)n2CCc2nccnc2C)C1,318.94,train
CC[C@@H](C(=O)NCc1ccccc1Oc1ccccc1)N1CCO[C@@H](CC)C1,269.91,train
C[C@@H](CF)NC(=O)c1nn(C)cc1Cl,122.99,train
CC[C@@H](c1nnc(N2CCN(CC(=O)N(C)C)CC2)n1CCc1sc(C)nc1C)c1ccccc1,347.98,train
CC1(CSCC2CCCC2)COC1,137.43,train
Cc1nc(CSCC(=O)N(C)CC2CC2)co1,164.05,train
CC[C@H](CN1CC2(C1)C[C@H](NC(=O)c1coc(OC)n1)CO2)OC,210.43,train
Cc1ccc(C)c(NC(=O)N2C[C@H](O)C3(CC3)C2)c1,184.14,train
Cc1cc(C(=O)N(C)CC(=O)Nc2cc(F)cc(F)c2)nn1-c1ccccc1Cl,259.09,train
CCOC1CC(SC[C@H]2C[C@H]2C)C1,142.43,train
Cc1nnc(N2CCN(CC(C)C)C(=O)[C@@H]2C)n1CC1CC(C)(C)C1,236.8,train
CC(=O)N1CCN(C(=O)[C@H](C)OC(=O)CNS(=O)(=O)c2ccc(N3CCCC3=O)cc2)CC1,297.68,train
CCC1CCC2(CC1)NC(=O)N(CC(=O)N1CCN(C(=O)c3cccs3)CC1)C2=O,279.1,train
Cc1cnn(C[C@H]2CN(c3nnc(-c4ccccc4)n3CCN(C)C(=O)OC(C)(C)C)CCO2)c1,323.52,train
Cc1ccc2[nH]c(C(=O)NC[C@H]3C[C@H]3C)cc2c1,186.42,train
CCCCc1nc(C[S@](=O)CC)cs1,156.02,train
CCOc1ccc(C2=CCN(CC(=O)N3CCc4cc([N+](=O)[O-])ccc43)CC2)cc1,308.98,train
CCC(O)(CC)Cn1c([C@@H]2COCCN2C(=O)OC(C)(C)C)nnc1N(C)Cc1c(C)noc1C,311.98,train
CCCNC(=O)CN1CCC(NC(=O)c2cccc(OC)c2OC)CC1,244.31,train
CC(C)Cc1nnc(N2CCC([C@@]3(C)NC(=O)NC3=O)CC2)n1CCCO[C@H](C)c1ccccc1,319.15,train
CC(C)(C)CCC[S@@](=O)CCCO,136.51,train
CCC(CC)NC(=O)c1nnc(N2CCC[C@@H](NC(C)=O)C2)n1CC(C)(C)c1ccc(OC)cc1,326.98,train
CCOc1cccc(CNC(=O)C(=O)N(C)[C@@H](C)c2ccccc2F)c1OC(F)F,257.43,train
C[C@@H](CCO)CNc1cncc(Cl)n1,136.75,train
C[C@H](NCC(=O)Nc1ccc(C(=O)N(C)C)cc1)c1ccc(-c2ccncc2)cc1,313.62,train
CC(C(=O)N(C)[C@H]1CCCN(C(=O)Cc2ccn[nH]2)C1)=C1CCCC1,228.81,train
CCS(=O)(=O)NCC(=O)NCc1cncc(OC)c1,168.18,train
CO[C@H]1CN(CC2(SC)CC2)CCO1,137.13,train
Cc1cnc(CN2C[C@H](O)[C@@H](N(C)C(=O)C3=CCOCC3)C2)cn1,220.03,train
O=C(Cc1cc2c(cc1[N+](=O)[O-])OCCO2)N1CCC[C@@H](c2ccc(F)cc2)CC1,272.67,train
